#queryIndex	queryItem	stringId	preferredName	annotation
18	COMMD7	9606.ENSP00000278980	COMMD7	COMM domain-containing protein 7; May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes. Associates with the NF-kappa-B complex and suppresses its transcriptional activity.
19	COPZ2	9606.ENSP00000480707	COPZ2	Coatomer subunit zeta-2; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. The zeta subunit may be involved in regulating the coat assembly and, hence, the rate of biosynthetic protein transport due to its association-dissociation properti [...] 
20	CPNE7	9606.ENSP00000268720	CPNE7	Copine-7; Calcium-dependent phospholipid-binding protein that may play a role in calcium-mediated intracellular processes. Belongs to the copine family.
21	CRISPLD2	9606.ENSP00000262424	CRISPLD2	Cysteine-rich secretory protein LCCL domain-containing 2; Promotes matrix assembly; Belongs to the CRISP family.
22	CSF1	9606.ENSP00000327513	CSF1	Processed macrophage colony-stimulating factor 1; Cytokine that plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone development. Required for normal male a [...] 
23	DDIT4L	9606.ENSP00000354830	DDIT4L	DNA damage-inducible transcript 4-like protein; Inhibits cell growth by regulating the TOR signaling pathway upstream of the TSC1-TSC2 complex and downstream of AKT1.
24	DDR2	9606.ENSP00000356899	DDR2	Discoidin domain-containing receptor 2; Tyrosine kinase involved in the regulation of tissues remodeling. It functions as cell surface receptor for fibrillar collagen and regulates cell differentiation, remodeling of the extracellular matrix, cell migration and cell proliferation. Required for normal bone development. Regulates osteoblast differentiation and chondrocyte maturation via a signaling pathway that involves MAP kinases and leads to the activation of the transcription factor RUNX2. Regulates remodeling of the extracellular matrix by up- regulation of the collagenases MMP1, MM [...] 
25	DTNBP1	9606.ENSP00000341680	DTNBP1	Dysbindin; Component of the BLOC-1 complex, a complex that is required for normal biogenesis of lysosome-related organelles (LRO), such as platelet dense granules and melanosomes. In concert with the AP-3 complex, the BLOC-1 complex is required to target membrane protein cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. The BLOC-1 complex, in association with SNARE proteins, is also proposed to be involved in neurite extension. Associates with the BLOC-2 complex to facilitate the transport of TYRP1 independent of AP-3 function. Plays a role i [...] 
26	DUSP10	9606.ENSP00000355866	DUSP10	Dual specificity protein phosphatase 10; Protein phosphatase involved in the inactivation of MAP kinases. Has a specificity for the MAPK11/MAPK12/MAPK13/MAPK14 subfamily. It preferably dephosphorylates p38.
27	EHHADH	9606.ENSP00000231887	EHHADH	Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase; enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase; In the C-terminal section; belongs to the 3-hydroxyacyl-CoA dehydrogenase family.
28	EMP1	9606.ENSP00000256951	EMP1	Epithelial membrane protein 1.
29	ENC1	9606.ENSP00000499185	ENC1	Ectoderm-neural cortex protein 1; Actin-binding protein involved in the regulation of neuronal process formation and in differentiation of neural crest cells. Down- regulates transcription factor NF2L2/NRF2 by decreasing the rate of protein synthesis and not via a ubiquitin-mediated proteasomal degradation mechanism.
30	EPG5	9606.ENSP00000282041	EPG5	Ectopic P granules protein 5 homolog; Involved in autophagy. May play a role in a late step of autophagy, such as clearance of autophagosomal cargo. Plays a key role in innate and adaptive immune response triggered by unmethylated cytidine-phosphate-guanosine (CpG) dinucleotides from pathogens, and mediated by the nucleotide-sensing receptor TLR9. It is necessary for the translocation of CpG dinucleotides from early endosomes to late endosomes and lysosomes, where TLR9 is located.
31	EPHA4	9606.ENSP00000281821	EPHA4	Ephrin type-A receptor 4; Receptor tyrosine kinase which binds membrane-bound ephrin family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Highly promiscuous, it has the unique property among Eph receptors to bind and to be physiologically activated by both GPI- anchored ephrin-A and transmembrane ephrin-B ligands including EFNA1 and EFNB3. U [...] 
32	FGD4	9606.ENSP00000433666	FGD4	FYVE, RhoGEF and PH domain-containing protein 4; Activates CDC42, a member of the Ras-like family of Rho- and Rac proteins, by exchanging bound GDP for free GTP. Plays a role in regulating the actin cytoskeleton and cell shape. Activates MAPK8 (By similarity).
33	FILIP1L	9606.ENSP00000346560	FILIP1L	Filamin A-interacting protein 1-like; Acts as a regulator of the antiangiogenic activity on endothelial cells. When overexpressed in endothelial cells, leads to inhibition of cell proliferation and migration and an increase in apoptosis. Inhibits melanoma growth When expressed in tumor-associated vasculature.
34	FOXN2	9606.ENSP00000343633	FOXN2	Forkhead box protein N2; Binds to the purine-rich region in HTLV-I LTR.
35	FOXP1	9606.ENSP00000484803	FOXP1	Forkhead box P1.
36	FRMD4B	9606.ENSP00000381549	FRMD4B	FERM domain-containing protein 4B; Member of GRP1 signaling complexes that are acutely recruited to plasma membrane ruffles in response to insulin receptor signaling. May function as a scaffolding protein that regulates epithelial cell polarity by connecting ARF6 activation with the PAR3 complex. Plays a redundant role with FRMD4A in epithelial polarization.
37	GAS1	9606.ENSP00000298743	GAS1	Growth arrest-specific protein 1; Specific growth arrest protein involved in growth suppression. Blocks entry to S phase. Prevents cycling of normal and transformed cells.
38	GBP3	9606.ENSP00000359512	GBP3	Guanylate-binding protein 3; Exhibits antiviral activity against influenza virus.
39	GCNT1	9606.ENSP00000415454	GCNT1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase; Glycosyltransferase that catalyzes the transfer of an N- acetylglucosamine moiety onto mucin-type core 1 O-glycan to form the branched mucin-type core 2 O-glycan. Mucin-type core 2 O-glycans play an important role in leukocyte extravasation as they serve as scaffolds for the display of the selectin ligand sialyl Lewis X by leukocytes.
40	GEM	9606.ENSP00000297596	GEM	GTP-binding protein GEM; Could be a regulatory protein, possibly participating in receptor-mediated signal transduction at the plasma membrane. Has guanine nucleotide-binding activity but undetectable intrinsic GTPase activity.
41	GK5	9606.ENSP00000418001	GK5	Glycerol kinase 5.
42	GSAP	9606.ENSP00000257626	GSAP	Gamma-secretase-activating protein 16 kDa C-terminal form; Regulator of gamma-secretase activity, which specifically activates the production of amyloid-beta protein (amyloid-beta protein 40 and amyloid-beta protein 42), without affecting the cleavage of other gamma-secretase targets such has Notch. The gamma-secretase complex is an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors and APP (amyloid-beta precursor protein). Specifically promotes the gamma- cleavage of APP CTF-alpha (also named APP-CTF) by the gamma-secre [...] 
43	HMOX1	9606.ENSP00000216117	HMOX1	Heme oxygenase 1; Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where senescent erythrocytes are sequestrated and destroyed. Exhibits cytoprotective effects since excess of free heme sensitizes cells to undergo apoptosis.
44	HPS5	9606.ENSP00000265967	HPS5	Hermansky-Pudlak syndrome 5 protein; May regulate the synthesis and function of lysosomes and of highly specialized organelles, such as melanosomes and platelet dense granules. Regulates intracellular vesicular trafficking in fibroblasts. May be involved in the regulation of general functions of integrins. Belongs to the HPS5 family.
45	IFNGR1	9606.ENSP00000356713	IFNGR1	Interferon gamma receptor 1; Associates with IFNGR2 to form a receptor for the cytokine interferon gamma (IFNG). Ligand binding stimulates activation of the JAK/STAT signaling pathway. Plays an essential role in the IFN-gamma pathway that is required for the cellular response to infectious agents.
46	IRS2	9606.ENSP00000365016	IRS2	Insulin receptor substrate 2; May mediate the control of various cellular processes by insulin.
47	ITGB3BP	9606.ENSP00000360133	ITGB3BP	Centromere protein R; Transcription coregulator that can have both coactivator and corepressor functions. Isoform 1, but not other isoforms, is involved in the coactivation of nuclear receptors for retinoid X (RXRs) and thyroid hormone (TRs) in a ligand-dependent fashion. In contrast, it does not coactivate nuclear receptors for retinoic acid, vitamin D, progesterone receptor, nor glucocorticoid. Acts as a coactivator for estrogen receptor alpha. Acts as a transcriptional corepressor via its interaction with the NFKB1 NF-kappa-B subunit, possibly by interfering with the transactivation [...] 
48	KCTD2	9606.ENSP00000312814	KCTD2	BTB/POZ domain-containing protein KCTD2; Potassium channel tetramerization domain containing 2.
49	LRRC8A	9606.ENSP00000259324	LRRC8A	Volume-regulated anion channel subunit LRRC8A; Essential component of the volume-regulated anion channel (VRAC, also named VSOAC channel), an anion channel required to maintain a constant cell volume in response to extracellular or intracellular osmotic changes. The VRAC channel conducts iodide better than chloride and can also conduct organic osmolytes like taurine. Mediates efflux of amino acids, such as aspartate and glutamate, in response to osmotic stress. LRRC8A and LRRC8D are required for the uptake of the drug cisplatin. Required for in vivo channel activity, together with at l [...] 
50	LPP	9606.ENSP00000491657	LPP	Lipoma-preferred partner; May play a structural role at sites of cell adhesion in maintaining cell shape and motility. In addition to these structural functions, it may also be implicated in signaling events and activation of gene transcription. May be involved in signal transduction from cell adhesion sites to the nucleus allowing successful integration of signals arising from soluble factors and cell-cell adhesion sites. Also suggested to serve as a scaffold protein upon which distinct protein complexes are assembled in the cytoplasm and in the nucleus.
51	MAP1A	9606.ENSP00000300231	MAP1A	Microtubule-associated protein 1A; Structural protein involved in the filamentous cross-bridging between microtubules and other skeletal elements.
52	MBOAT2	9606.ENSP00000302177	MBOAT2	Lysophospholipid acyltransferase 2; Acyltransferase which mediates the conversion of lysophosphatidylethanolamine (1-acyl-sn-glycero-3-phosphoethanolamine or LPE) into phosphatidylethanolamine (1,2-diacyl-sn-glycero-3- phosphoethanolamine or PE) (LPEAT activity). Catalyzes also the acylation of lysophosphatidic acid (LPA) into phosphatidic acid (PA) (LPAAT activity). Has also a very weak lysophosphatidylcholine acyltransferase (LPCAT activity). Prefers oleoyl-CoA as the acyl donor. Lysophospholipid acyltransferases (LPLATs) catalyze the reacylation step of the phospholipid remodeling p [...] 
53	METAP2	9606.ENSP00000325312	METAP2	Methionine aminopeptidase 2; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met- Ala-, Cys, Gly, Pro, Ser, Thr, or Val). The catalytic activity of human METAP2 toward Met-Val peptides is consistently two orders of magnitude higher than that of METAP1, suggesting that it is responsible for processing proteins containing N-terminal Met-Val and Met-Thr sequences in vivo; Belongs to the peptidase M24A family. Methionine aminopeptidase eukaryotic typ [...] 
54	MGLL	9606.ENSP00000265052	MGLL	Monoglyceride lipase; Converts monoacylglycerides to free fatty acids and glycerol. Hydrolyzes the endocannabinoid 2- arachidonoylglycerol, and thereby contributes to the regulation of endocannabinoid signaling, nociperception and perception of pain. Regulates the levels of fatty acids that serve as signaling molecules and promote cancer cell migration, invasion and tumor growth. Belongs to the AB hydrolase superfamily. Monoacylglycerol lipase family.
55	MIB1	9606.ENSP00000261537	MIB1	E3 ubiquitin-protein ligase MIB1; E3 ubiquitin-protein ligase that mediates ubiquitination of Delta receptors, which act as ligands of Notch proteins. Positively regulates the Delta-mediated Notch signaling by ubiquitinating the intracellular domain of Delta, leading to endocytosis of Delta receptors. Probably mediates ubiquitination and subsequent proteasomal degradation of DAPK1, thereby antagonizing anti-apoptotic effects of DAPK1 to promote TNF-induced apoptosis (By similarity). Involved in ubiquitination of centriolar satellite CEP131, CEP290 and PCM1 proteins and hence inhibits p [...] 
56	MTHFD2	9606.ENSP00000377617	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial; Although its dehydrogenase activity is NAD-specific, it can also utilize NADP at a reduced efficiency. Belongs to the tetrahydrofolate dehydrogenase/cyclohydrolase family.
57	MYC	9606.ENSP00000478887	MYC	Myc proto-oncogene protein; Transcription factor that binds DNA in a non-specific manner, yet also specifically recognizes the core sequence 5'-CAC[GA]TG-3'. Activates the transcription of growth-related genes. Binds to the VEGFA promoter, promoting VEGFA production and subsequent sprouting angiogenesis. Regulator of somatic reprogramming, controls self-renewal of embryonic stem cells. Functions with TAF6L to activate target gene expression through RNA polymerase II pause release (By similarity).
59	NEK7	9606.ENSP00000356355	NEK7	Serine/threonine-protein kinase Nek7; Protein kinase which plays an important role in mitotic cell cycle progression. Required for microtubule nucleation activity of the centrosome, robust mitotic spindle formation and cytokinesis. Phosphorylates RPS6KB1.
60	NFIX	9606.ENSP00000380781	NFIX	Nuclear factor 1 X-type; Recognizes and binds the palindromic sequence 5'- TTGGCNNNNNGCCAA-3' present in viral and cellular promoters and in the origin of replication of adenovirus type 2. These proteins are individually capable of activating transcription and replication; Belongs to the CTF/NF-I family.
61	NIPAL2	9606.ENSP00000407087	NIPAL2	NIPA-like protein 2; NIPA like domain containing 2; Belongs to the NIPA family.
62	NR3C1	9606.ENSP00000231509	NR3C1	Glucocorticoid receptor; Receptor for glucocorticoids (GC). Has a dual mode of action: as a transcription factor that binds to glucocorticoid response elements (GRE), both for nuclear and mitochondrial DNA, and as a modulator of other transcription factors. Affects inflammatory responses, cellular proliferation and differentiation in target tissues. Involved in chromatin remodeling. Plays a role in rapid mRNA degradation by binding to the 5' UTR of target mRNAs and interacting with PNRC2 in a ligand- dependent manner which recruits the RNA helicase UPF1 and the mRNA- decapping enzyme D [...] 
63	NUDT6	9606.ENSP00000306070	NUDT6	Nucleoside diphosphate-linked moiety X motif 6; May contribute to the regulation of cell proliferation. Belongs to the Nudix hydrolase family.
64	PER1	9606.ENSP00000314420	PER1	Period circadian protein homolog 1; Transcriptional repressor which forms a core component of the circadian clock. The circadian clock, an internal time-keeping system, regulates various physiological processes through the generation of approximately 24 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior. It is derived from the Latin roots 'circa' (about) and 'diem' (day) and acts as an important regulator of a wide array of physiological functions including metabolism, sleep, body temperature, blood pressure, endocrine, immune, cardi [...] 
65	PFKFB3	9606.ENSP00000492001	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3; Synthesis and degradation of fructose 2,6-bisphosphate; In the C-terminal section; belongs to the phosphoglycerate mutase family.
66	PHLDB2	9606.ENSP00000405405	PHLDB2	Pleckstrin homology-like domain family B member 2; Seems to be involved in the assembly of the postsynaptic apparatus. May play a role in acetyl-choline receptor (AChR) aggregation in the postsynaptic membrane (By similarity).
67	PI4K2A	9606.ENSP00000359665	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha; Membrane-bound phosphatidylinositol-4 kinase (PI4-kinase) that catalyzes the phosphorylation of phosphatidylinositol (PI) to phosphatidylinositol 4-phosphate (PI4P), a lipid that plays important roles in endocytosis, Golgi function, protein sorting and membrane trafficking and is required for prolonged survival of neurons. Besides, phosphorylation of phosphatidylinositol (PI) to phosphatidylinositol 4- phosphate (PI4P) is the first committed step in the generation of phosphatidylinositol 4,5-bisphosphate (PIP2), a precursor of the second mess [...] 
68	PIK3R1	9606.ENSP00000428056	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha; Binds to activated (phosphorylated) protein-Tyr kinases, through its SH2 domain, and acts as an adapter, mediating the association of the p110 catalytic unit to the plasma membrane. Necessary for the insulin-stimulated increase in glucose uptake and glycogen synthesis in insulin-sensitive tissues. Plays an important role in signaling in response to FGFR1, FGFR2, FGFR3, FGFR4, KITLG/SCF, KIT, PDGFRA and PDGFRB. Likewise, plays a role in ITGB2 signaling. Modulates the cellular response to ER stress by promoting nuclear translocation [...] 
69	PKIA	9606.ENSP00000379696	PKIA	cAMP-dependent protein kinase inhibitor alpha; Extremely potent competitive inhibitor of cAMP-dependent protein kinase activity, this protein interacts with the catalytic subunit of the enzyme after the cAMP-induced dissociation of its regulatory chains.
70	PLEKHA7	9606.ENSP00000435389	PLEKHA7	Pleckstrin homology domain-containing family A member 7; Required for zonula adherens biogenesis and maintenance. Acts via its interaction with CAMSAP3, which anchors microtubules at their minus-ends to zonula adherens, leading to the recruitment of KIFC3 kinesin to the junctional site. Mediates docking of ADAM10 to zonula adherens through a PDZD11- dependent interaction with the ADAM10-binding protein TSPAN33.
71	PRICKLE2	9606.ENSP00000492363	PRICKLE2	Prickle planar cell polarity protein 2.
72	RALA	9606.ENSP00000005257	RALA	Ras-related protein Ral-A; Multifunctional GTPase involved in a variety of cellular processes including gene expression, cell migration, cell proliferation, oncogenic transformation and membrane trafficking. Accomplishes its multiple functions by interacting with distinct downstream effectors. Acts as a GTP sensor for GTP-dependent exocytosis of dense core vesicles. The RALA-exocyst complex regulates integrin- dependent membrane raft exocytosis and growth signaling. Key regulator of LPAR1 signaling and competes with GRK2 for binding to LPAR1 thus affecting the signaling properties of t [...] 
73	RALGPS2	9606.ENSP00000356607	RALGPS2	Ras-specific guanine nucleotide-releasing factor RalGPS2; Guanine nucleotide exchange factor for the small GTPase RALA. May be involved in cytoskeletal organization. May also be involved in the stimulation of transcription in a Ras-independent fashion (By similarity).
74	RAPH1	9606.ENSP00000316543	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1; Mediator of localized membrane signals. Implicated in the regulation of lamellipodial dynamics. Negatively regulates cell adhesion.
75	RPLP2	9606.ENSP00000431240	RPLP2	60S acidic ribosomal protein P2; Plays an important role in the elongation step of protein synthesis.
76	RPS6KA3	9606.ENSP00000368884	RPS6KA3	Ribosomal protein S6 kinase alpha-3; Serine/threonine-protein kinase that acts downstream of ERK (MAPK1/ERK2 and MAPK3/ERK1) signaling and mediates mitogenic and stress-induced activation of the transcription factors CREB1, ETV1/ER81 and NR4A1/NUR77, regulates translation through RPS6 and EIF4B phosphorylation, and mediates cellular proliferation, survival, and differentiation by modulating mTOR signaling and repressing pro- apoptotic function of BAD and DAPK1. In fibroblast, is required for EGF-stimulated phosphorylation of CREB1 and histone H3 at 'Ser-10', which results in the subseq [...] 
77	RRAGA	9606.ENSP00000369899	RRAGA	Ras-related GTP-binding protein A; Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through regulation of the mTORC1 signaling cascade. Forms heterodimeric Rag complexes with RRAGC or RRAGD and cycles between an inactive GDP-bound and an active GTP-bound form. In its active form participates in the relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. Involved in the RCC1/Ran-GTPase pathway. May play a direct role in a TNF-alpha signaling pathway leading to induction of cell death. May [...] 
78	SEMA3A	9606.ENSP00000265362	SEMA3A	Semaphorin-3A; Involved in the development of the olfactory system and in neuronal control of puberty. Induces the collapse and paralysis of neuronal growth cones. Could serve as a ligand that guides specific growth cones by a motility-inhibiting mechanism. Binds to the complex neuropilin-1/plexin-1; Belongs to the semaphorin family.
79	SFT2D2	9606.ENSP00000271375	SFT2D2	Vesicle transport protein SFT2B; May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex. Belongs to the SFT2 family.
80	SHPRH	9606.ENSP00000275233	SHPRH	E3 ubiquitin-protein ligase SHPRH; E3 ubiquitin-protein ligase involved in DNA repair. Upon genotoxic stress, accepts ubiquitin from the UBE2N-UBE2V2 E2 complex and transfers it to 'Lys-164' of PCNA which had been monoubiquitinated by UBE2A/B-RAD18, promoting the formation of non-canonical poly- ubiquitin chains linked through 'Lys-63'; Belongs to the SNF2/RAD54 helicase family.
81	SLC11A2	9606.ENSP00000378364	SLC11A2	Natural resistance-associated macrophage protein 2; Important in metal transport, in particular iron. Can also transport manganese, cobalt, cadmium, nickel, vanadium and lead. Involved in apical iron uptake into duodenal enterocytes. Involved in iron transport from acidified endosomes into the cytoplasm of erythroid precursor cells. May play an important role in hepatic iron accumulation and tissue iron distribution. May serve to import iron into the mitochondria. Belongs to the NRAMP family.
82	SLC7A11	9606.ENSP00000280612	SLC7A11	Cystine/glutamate transporter; Sodium-independent, high-affinity exchange of anionic amino acids with high specificity for anionic form of cystine and glutamate. Belongs to the amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family.
83	SMCO4	9606.ENSP00000298966	SMCO4	Single-pass membrane protein with coiled-coil domains 4; Belongs to the SMCO4 family.
84	SNN	9606.ENSP00000329287	SNN	Stannin; Plays a role in the toxic effects of organotins. Plays a role in endosomal maturation.
85	SNX10	9606.ENSP00000395474	SNX10	Sorting nexin-10; Probable phosphoinositide-binding protein involved in protein sorting and membrane trafficking in endosomes. Plays a role in cilium biogenesis through regulation of the transport and the localization of proteins to the cilium. Required for the localization to the cilium of V-ATPase subunit ATP6V1D and ATP6V0D1, and RAB8A. Involved in osteoclast differentiation and therefore bone resorption.
86	SNX30	9606.ENSP00000363349	SNX30	Sorting nexin-30; May be involved in several stages of intracellular trafficking; Belongs to the sorting nexin family.
87	SORT1	9606.ENSP00000256637	SORT1	Sortilin; Functions as a sorting receptor in the Golgi compartment and as a clearance receptor on the cell surface. Required for protein transport from the Golgi apparatus to the lysosomes by a pathway that is independent of the mannose-6-phosphate receptor (M6PR). Also required for protein transport from the Golgi apparatus to the endosomes. Promotes neuronal apoptosis by mediating endocytosis of the proapoptotic precursor forms of BDNF (proBDNF) and NGFB (proNGFB). Also acts as a receptor for neurotensin. May promote mineralization of the extracellular matrix during osteogenic differ [...] 
88	SOX13	9606.ENSP00000356172	SOX13	Transcription factor SOX-13; Binds to the sequence 5'-AACAAT-3'.
89	SV2A	9606.ENSP00000358142	SV2A	Synaptic vesicle glycoprotein 2A; Plays a role in the control of regulated secretion in neural and endocrine cells, enhancing selectively low-frequency neurotransmission. Positively regulates vesicle fusion by maintaining the readily releasable pool of secretory vesicles (By similarity).
